Country,Year,fertilityRate,lifeExpectancy,mortalityRate,popGrowth,ruralPopPct,gdpGrowthPct,gdpUS,gdpPerCapitaUS,gni,gniPerCapita,pop14under,pop15to24,pop25to64,pop65over,totalPop,happinessScore
Australia,2015,1.814,82.4,3.2,1.4392200000000002,14.299000000000001,2.35114,1349034029453.37,56644.03396,1587954000000.0,60440.0,4520.213,3172.395,12684.813999999998,3555.08,23932.502,7.284
Australia,2016,1.7519999999999998,82.44878,3.1,1.5619399999999999,14.2,2.8273099999999998,1208039015868.39,49937.73139,1622282000000.0,54180.0,4598.344,3155.24,12835.482,3673.6459999999997,24262.712000000003,7.313
Australia,2017,1.765,82.49756,3.0,1.68452,14.095999999999998,1.9575799999999999,1323421072479.07,53793.537260000005,1707621000000.0,51360.0,4687.067,3135.675,12974.858,3787.02,24584.62,7.28399991989136
Austria,2015,1.49,81.19024,3.0,1.12099,42.285,1.1429799999999999,381805676697.70703,44176.67174,340869100000.0,47490.0,1225.425,1008.434,4809.7,1635.101,8678.66,7.2
Austria,2016,1.53,81.64146,3.0,1.0814,42.095,2.03957,394052818287.78796,45103.32981,355831400000.0,46130.0,1239.55,1001.79,4851.920999999999,1654.04,8747.301,7.119
Austria,2017,1.53,81.64146,2.9,0.69462,41.906000000000006,2.55088,416835975862.193,47380.829639999996,368917000000.0,45360.0,1255.153,993.08,4899.717000000001,1671.951,8819.901,7.00600004196167
Belgium,2015,1.7,80.99268000000001,3.2,0.57945,2.124,1.71668,455837758493.34796,40431.95262,408776700000.0,44180.0,1919.4189999999999,1325.25,5995.378000000001,2047.8929999999998,11287.94,6.937
Belgium,2016,1.68,81.43902,3.1,0.5063,2.081,1.48868,469738715754.105,41454.52493,425082800000.0,42530.0,1932.148,1319.999,6016.255,2086.018,11354.42,6.928999999999999
Belgium,2017,1.68,81.43902,3.1,0.44881000000000004,2.039,1.69288,494763551890.776,43467.4459,444348700000.0,42050.0,1945.523,1313.102,6038.868,2122.255,11419.748,6.89099979400635
Canada,2015,1.5630000000000002,81.9,4.7,0.8327700000000001,18.741,1.00088,1552521512853.35,43327.17364,1955337000000.0,47380.0,5761.1990000000005,4648.731,19833.155,5783.590999999999,36026.676,7.4270000000000005
Canada,2016,1.5433,82.30051,4.6,1.19865,18.7,1.4141,1526953791566.99,42105.90006,1999405000000.0,43770.0,5784.173000000001,4620.4490000000005,19991.505,5986.816999999999,36382.943999999996,7.404
Canada,2017,1.4961,82.47049,4.5,1.21548,18.65,3.04735,1647120175449.13,44870.77616,2114408000000.0,42790.0,5829.397,4562.767,20153.331000000002,6186.6,36732.095,7.31599998474121
Czech Republic,2015,1.57,78.57805,2.5,0.19659000000000001,26.523000000000003,5.30924,186829940545.75897,17715.61685,4286153000000.0,18260.0,1602.315,1070.0639999999999,6021.299,1907.719,10601.396999999999,6.505
Czech Republic,2016,1.63,79.02683,2.6,0.19205,26.43,2.45054,195090272402.72897,18463.386580000002,4458906000000.0,17590.0,1614.725,1035.7830000000001,6001.571999999999,1966.777,10618.857,6.596
Czech Republic,2017,1.63,79.47561,2.6,0.26564,26.325,4.3526,215913545038.43,20379.89604,4735267000000.0,17960.0,1637.1629999999998,1004.0889999999999,5978.335999999999,2021.4460000000001,10641.034,6.60900020599365
Denmark,2015,1.71,80.70244,3.6,0.7064199999999999,12.474,2.34262,302673037998.602,53254.850589999995,2090395000000.0,60270.0,958.1560000000001,749.049,2897.9390000000003,1083.5510000000002,5688.695,7.527
Denmark,2016,1.79,80.85365999999999,3.7,0.7803899999999999,12.357999999999999,2.39968,311988101661.74396,54467.101429999995,2118148000000.0,56750.0,947.928,747.903,2906.2340000000004,1109.2839999999999,5711.349,7.526
Denmark,2017,1.79,81.00488,3.7,0.64335,12.243,2.26237,329865537183.471,57218.85196,2194349000000.0,55330.0,945.3489999999999,741.063,2918.926,1126.9360000000001,5732.274,7.52199983596802
Finland,2015,1.65,81.48049,2.0,0.32938,14.775,0.50066,232850788304.513,42494.65662,211472000000.0,46680.0,898.6110000000001,650.09,2822.802,1109.619,5481.121999999999,7.406000000000001
Finland,2016,1.57,81.42926999999999,1.9,0.28742,14.725,2.77193,239009517793.721,43493.41934,219175000000.0,45620.0,897.9889999999999,643.249,2813.448,1143.027,5497.713000000001,7.412999999999999
Finland,2017,1.57,81.42926999999999,1.9,0.23467,14.675,2.65253,252301837573.029,45804.65421,226487000000.0,44760.0,895.6619999999999,634.196,2808.762,1172.751,5511.371,7.468999862670901
France,2015,1.96,82.32195,3.5,0.41723999999999994,20.345,1.11291,2438207896251.84,36613.37522,2245908830000.0,41080.0,11828.716999999999,7546.8240000000005,32908.176,12169.483,64453.2,6.575
France,2016,1.92,82.52439,3.5,0.39924,20.083,1.17105,2465134297438.91,36870.21913,2276126310000.0,38980.0,11798.946000000002,7542.028,32856.042,12470.58,64667.596,6.478
France,2017,1.92,82.52439,3.5,0.36688000000000004,19.82,2.1611599999999997,2582501307216.42,38484.18992,2348480460000.0,38160.0,11742.866000000002,7544.275,32801.497,12753.871000000001,64842.509000000005,6.44199991226196
Germany,2015,1.5,80.64146,3.3,0.8657,22.8,1.7389700000000001,3381389338658.82,41394.65816,3114633000000.0,46020.0,10809.792,8664.76,44958.723,17354.136000000002,81787.411,6.75
Germany,2016,1.59,80.99024,3.2,0.8072199999999999,22.776,2.2422400000000002,3495162856297.22,42443.46507,3222405000000.0,44360.0,10944.346000000001,8666.214,45085.215,17497.993000000002,82193.768,6.994
Germany,2017,1.57,80.99024,3.1,0.40859,22.739,2.15711,3693204332229.78,44665.506369999996,3346282000000.0,43700.0,11118.125,8683.341,45191.611,17665.332,82658.409,6.9510002136230495
Greece,2015,1.33,81.03659,3.9,-0.65886,21.954,-0.43783,196591353761.226,18167.773719999997,177502740600.0,20320.0,1552.043,1086.327,5801.9130000000005,2219.467,10659.75,4.857
Greece,2016,1.38,81.3878,4.2,-0.41591000000000006,21.613000000000003,-0.19095,195222443512.93698,18116.459619999998,176494503700.0,18890.0,1523.839,1076.202,5772.16,2242.984,10615.185,5.033
Greece,2017,1.38,81.3878,4.3,-0.20845999999999998,21.276,1.5051,203085551429.132,18885.475980000003,180567906000.0,18340.0,1501.37,1067.646,5738.64,2261.794,10569.45,5.2270002365112305
Hungary,2015,1.45,75.56829,4.3,-0.23786,29.5,3.53643,123074092703.14099,12503.68207,32862766000000.0,13140.0,1412.775,1142.326,5514.736,1708.086,9777.923,4.8
Hungary,2016,1.53,76.06341,4.1,-0.29511,29.221,2.2808,126007978024.32,12839.58454,34609009000000.0,12940.0,1401.602,1115.558,5480.0509999999995,1755.764,9752.975,5.145
Hungary,2017,1.53,76.06341,3.8,-0.26586,28.938000000000002,4.13706,139761138102.757,14278.8745,36823641000000.0,12920.0,1398.396,1084.389,5439.445,1807.5929999999998,9729.823,5.32399988174438
Iceland,2015,1.8,82.46829,1.7,1.0419399999999999,6.3,4.46786,17344165907.2129,52428.595760000004,2182437000000.0,50150.0,67.082,47.157,170.71400000000003,45.29,330.24300000000005,7.561
Iceland,2016,1.74,82.20488,1.7,1.38808,6.265,7.3514800000000005,20716024757.4057,61757.94931,2395281000000.0,55120.0,66.921,46.512,172.03900000000002,46.733999999999995,332.20599999999996,7.501
Iceland,2017,1.74,82.20488,1.6,2.34558,6.227,4.02487,24488467010.4793,71311.78512,2560510853242.0,60500.0,66.844,45.688,173.623,48.238,334.39300000000003,7.50400018692017
Ireland,2015,1.85,81.45366,3.1,0.94485,37.461999999999996,25.11725,291092489805.942,61908.79452999999,201667082100.0,50390.0,1017.6110000000001,535.374,2504.345,595.095,4652.425,6.94
Ireland,2016,1.81,81.70488,3.0,1.12883,37.263000000000005,4.98758,302242900803.522,63558.697929999995,223150091400.0,53110.0,1021.582,545.749,2511.0660000000003,617.382,4695.779,6.907
Ireland,2017,1.81,81.9561,3.0,1.17045,37.053000000000004,7.2217899999999995,331430014003.047,68885.45038,234220940000.0,53370.0,1026.864,558.431,2525.975,642.009,4753.279,6.9770002365112305
Italy,2015,1.35,82.5439,3.0,-0.09638,30.435,0.92399,1832273032580.67,30170.5166,1643152300000.0,32960.0,8308.565999999999,5856.525,33117.244,13296.159,60578.494000000006,5.9479999999999995
Italy,2016,1.34,83.2439,2.9,-0.16988,30.145,1.14551,1869117192194.75,30829.528739999998,1693768200000.0,31820.0,8253.006,5854.51,33067.197,13488.347,60663.06,5.977
Italy,2017,1.34,83.2439,2.9,-0.14986,29.855999999999998,1.57176,1943835376341.56,32110.027260000003,1734675600000.0,31180.0,8175.8240000000005,5847.628000000001,32998.855,13651.393999999998,60673.700999999994,5.96400022506714
Japan,2015,1.45,83.7939,2.1,-0.10612,8.619,1.35382,4394977752877.82,34567.74568,552281300000000.0,38880.0,0.0,0.0,0.0,0.0,0.0,5.987
Japan,2016,1.44,83.98488,1.9,-0.11528,8.543,0.93819,4949273341993.88,38972.340639999995,555658900000000.0,38000.0,0.0,0.0,0.0,0.0,0.0,5.921
Japan,2017,1.43,84.09976,1.9,-0.16448,8.465,1.73455,4872415104314.68,38430.29124,565696300000000.0,38520.0,0.0,0.0,0.0,0.0,0.0,5.92000007629395
South Korea,2015,1.239,82.02439,3.0,0.5272899999999999,18.366,2.7902400000000003,1382764027113.82,27105.076230000002,1568383100000000.0,27250.0,7004.295999999999,6704.488,30578.784,6535.525,50823.093,5.984
South Korea,2016,1.172,82.27561,2.9,0.45132,18.438,2.9293,1414804158515.26,27608.24743,1646208900000000.0,27690.0,6881.7119999999995,6576.719,30724.882999999998,6800.143,50983.457,5.835
South Korea,2017,1.052,82.62683,2.8,0.42935,18.497,3.06277,1530750923148.7,29742.838860000003,1730461400000000.0,28380.0,6757.755999999999,6391.015,30869.642000000003,7078.0019999999995,51096.415,5.837999820709231
Luxembourg,2015,1.47,82.29268,2.2,2.35995,9.821,3.9159599999999997,57204400105.015,100428.36796,34863900000.0,74760.0,92.82,69.995,324.615,79.311,566.741,6.946000000000001
Luxembourg,2016,1.41,82.68536999999999,2.1,2.15531,9.54,2.4114299999999997,58961235412.2227,101305.52772,36190800000.0,71200.0,94.069,71.944,331.909,81.342,579.264,6.871
Luxembourg,2017,1.41,82.68536999999999,2.1,2.43098,9.273,1.54566,62316359824.1281,104498.73867,39199400000.0,70790.0,95.09100000000001,73.421,339.899,83.499,591.91,6.86299991607666
Mexico,2015,2.215,76.933,12.7,1.3349,20.715,3.28799,1170564619927.69,9298.24288,18093301026000.0,9840.0,33676.71,21969.9,58017.026,8194.622,121858.258,7.187
Mexico,2016,2.184,77.118,12.2,1.3017299999999998,20.423,2.8978599999999997,1077779580638.77,8450.494009999999,19597048395000.0,9100.0,33676.043,22048.118,59132.117,8477.098,123333.37599999999,6.778
Mexico,2017,2.153,77.305,11.5,1.2644,20.133,2.04147,1150887823404.18,8910.33318,21268712189000.0,8610.0,33614.044,22097.937,60280.058,8785.285,124777.32400000001,6.57800006866455
Netherlands,2015,1.66,81.50976,3.4,0.44322,9.827,1.95917,765264949780.999,45175.231889999995,690537000000.0,49810.0,2838.1490000000003,2072.824,8992.115,3035.4109999999996,16938.499,7.377999999999999
Netherlands,2016,1.66,81.56098,3.4,0.53218,9.365,2.19171,783528181704.567,46007.85292,697862000000.0,46900.0,2814.889,2065.655,8981.005,3119.7459999999996,16981.295,7.3389999999999995
Netherlands,2017,1.66,81.56098,3.3,0.5912,8.923,2.86883,830572618849.828,48482.76621,740070000000.0,46910.0,2783.5229999999997,2059.797,8979.353000000001,3198.6740000000004,17021.346999999998,7.3769998550415
New Zealand,2015,1.99,81.45683000000001,4.6,1.88905,13.659,4.43429,177620948761.31,38649.3785,246138000000.0,40830.0,921.561,658.293,2358.78,675.898,4614.532,7.2860000000000005
New Zealand,2016,1.87,81.61244,4.5,2.09936,13.6,3.47146,189285950470.754,40331.9591,262612000000.0,39520.0,922.9939999999999,655.072,2382.3160000000003,698.883,4659.265,7.334
New Zealand,2017,1.81,81.65854,4.4,2.12296,13.534,2.81945,204139049908.52,42583.08473,277478000000.0,38780.0,927.061,648.446,2405.731,720.796,4702.034000000001,7.31400012969971
Norway,2015,1.72,82.30488000000001,2.2,0.99508,18.909000000000002,1.97005,386663139402.70703,74521.56993,3247407000000.0,93080.0,934.0110000000001,674.8389999999999,2743.255,847.7310000000001,5199.835999999999,7.522
Norway,2016,1.71,82.40732,2.1,0.88097,18.515,1.18735,371344761904.762,70941.52527,3251144000000.0,81620.0,934.7639999999999,677.638,2767.1929999999998,871.3539999999999,5250.9490000000005,7.497999999999999
Norway,2017,1.71,82.50976,2.1,0.80767,18.129,1.9804400000000002,399488897844.046,75704.2487,3441558000000.0,76160.0,935.8660000000001,678.332,2790.493,891.635,5296.326,7.537000179290769
Poland,2015,1.32,77.45121999999999,4.2,-0.06663999999999999,39.722,3.83895,476970902628.57794,12556.35575,1736693000000.0,13340.0,5645.891,4479.201,21925.662,5983.325,38034.079,5.791
Poland,2016,1.39,77.85122,4.1,-0.04299,39.821999999999996,3.0626,471992087443.889,12430.6296,1783745000000.0,12670.0,5616.771,4303.742,21862.142999999996,6206.564,37989.22,5.835
Poland,2017,1.39,77.85122,4.0,0.01248,39.895,4.80575,526465839002.568,13863.54842,1910052000000.0,12730.0,5647.16,4122.252,21757.803,6425.965,37953.18,5.97300004959106
Portugal,2015,1.31,81.12439,3.0,-0.41413999999999995,36.486,1.82207,199420256049.689,19252.63495,174868051000.0,20440.0,1460.5639999999999,1087.167,5667.9490000000005,2152.6710000000003,10368.351,5.102
Portugal,2016,1.36,81.12439,3.1,-0.31546,35.914,1.9257400000000002,206275669201.91602,19977.39849,182176155000.0,19950.0,1432.859,1082.77,5624.859,2185.05,10325.538,5.122999999999999
Portugal,2017,1.36,81.12439,3.1,-0.24389,35.348,2.79505,219308128887.409,21291.43121,190363535000.0,19930.0,1406.141,1079.029,5585.387,2217.97,10288.527,5.19500017166138
Slovakia,2015,1.4,76.56341,5.0,0.09502999999999999,46.111000000000004,4.174869999999999,87769595120.4718,16182.303719999998,77150204000.0,17510.0,829.355,654.05,3188.6620000000003,763.544,5435.611,5.995
Slovakia,2016,1.48,77.16585,4.8,0.12892,46.193999999999996,3.12541,89848359304.5293,16544.22781,79704463000.0,16950.0,830.5060000000001,630.632,3189.156,791.709,5442.003000000001,6.077999999999999
Slovakia,2017,1.48,77.16585,4.6,0.15517999999999998,46.248999999999995,3.18834,95617670260.1144,17579.2594,83163701000.0,16650.0,835.584,607.265,3183.452,821.5989999999999,5447.9,6.09800004959106
Afghanistan,2015,4.802,63.288000000000004,54.9,2.94323,75.197,1.45131,19907111418.9938,590.07647,1233810310400.0,610.0,15443.806,7277.599,10839.201000000001,852.997,34413.602999999996,3.575
Afghanistan,2016,4.635,63.673,53.2,2.6891599999999998,74.98,2.26031,19046357714.4928,549.58276,1320724136100.0,570.0,15664.816,7559.9619999999995,11266.628999999999,891.625,35383.032,3.36
Afghanistan,2017,4.477,64.047,51.5,2.49079,74.75,2.66529,19543976895.4248,550.06846,1382270275800.0,560.0,15855.059,7822.871,11691.089,927.0939999999999,36296.113,3.7939999103546103
Albania,2015,1.714,78.17399999999999,8.3,-0.29120999999999997,42.566,2.22,11386931489.7968,3952.83078,1451382009300.0,4390.0,539.622,497.661,1488.2579999999998,364.972,2890.513,4.959
Albania,2016,1.713,78.345,8.1,-0.15988,41.57899999999999,3.35,11883682170.8236,4131.87234,1499158508000.0,4320.0,530.634,484.816,1497.015,373.973,2886.438,4.655
Albania,2017,1.71,78.495,7.8,-0.09197000000000001,40.617,3.83554,13038538300.2644,4537.57906,1565222434000.0,4320.0,519.967,471.69800000000004,1508.0710000000001,384.43300000000005,2884.1690000000003,4.64400005340576
Algeria,2015,2.839,75.86,21.4,1.9199599999999999,29.151999999999997,3.76347,165979277276.90698,4162.85218,16264306800000.0,4830.0,11404.93,6615.146,19378.442,2329.507,39728.025,5.605
Algeria,2016,2.7760000000000002,76.078,21.0,1.8254599999999999,28.541,3.3,160129866569.935,3943.49755,17353283000000.0,4370.0,11814.426000000001,6431.960999999999,19868.685,2436.32,40551.392,6.355
Algeria,2017,2.7089999999999996,76.293,20.6,1.73846,27.948,1.6,167555280113.181,4055.24721,18305582300000.0,3940.0,12267.586000000001,6242.096,20322.811999999998,2556.695,41389.189,5.872000217437741
Angola,2015,5.766,61.24100000000001,58.2,3.4280199999999996,36.554,0.94358,116193649124.475,4170.7303600000005,13241027545838.9,4520.0,13136.045,5384.299,8729.427,634.61,27884.381,4.033
Angola,2016,5.694,61.547,55.8,3.3675699999999997,35.851,-2.5801,101123851090.473,3509.60421,15688820326102.9,3770.0,13571.358,5563.88,9055.117,652.134,28842.488999999998,3.866
Angola,2017,5.622999999999999,61.809,53.8,3.31351,35.161,-0.14720999999999998,122123822333.73,4100.28979,19642138805193.1,3570.0,13999.871000000001,5754.414000000001,9394.825,667.6560000000001,29816.766,3.79500007629395
Argentina,2015,2.3080000000000003,76.415,10.2,1.00985,8.497,2.73116,594749285413.212,13698.293440000001,5843041183200.0,12510.0,10859.813999999998,7022.751,20571.369,4621.482,43075.416,6.574
Argentina,2016,2.293,76.577,9.7,0.98474,8.373,-1.82254,554860945013.62,12654.355,8008804972700.0,12150.0,10911.685,7025.388000000001,20846.378,4725.009,43508.46,6.65
Argentina,2017,2.2769999999999997,76.738,9.2,0.96147,8.251,2.85447,637430331479.469,14398.358769999999,10284353848000.0,13030.0,10952.11,7022.514,21133.952999999998,4828.563,43937.14,6.59899997711182
Armenia,2015,1.6219999999999999,74.445,12.5,0.36853,36.915,3.2,10553337672.9872,3617.93575,5255295806800.0,4030.0,587.452,419.961,1599.9160000000002,318.224,2925.553,4.35
Armenia,2016,1.6119999999999999,74.618,11.9,0.2693,36.918,0.2,10546135160.031,3605.74312,5175027274000.0,3770.0,594.869,400.555,1618.368,322.351,2936.143,4.36
Armenia,2017,1.604,74.782,11.3,0.19244,36.897,7.5,11536590635.8267,3936.7983200000003,5792556173500.0,3990.0,602.339,382.519,1633.16,326.77299999999997,2944.7909999999997,4.37599992752075
Azerbaijan,2015,1.94,71.921,23.4,1.19121,45.286,1.1,53074370486.0433,5500.31038,52302300000.0,6550.0,2201.096,1613.233,5256.405,552.011,9622.745,5.212000000000001
Azerbaijan,2016,1.9,72.02600000000001,21.9,1.11786,44.979,-3.1,37867518957.1975,3880.7387299999996,56448378000.0,4760.0,2252.661,1553.7020000000002,5361.531,568.149,9736.043,5.291
Azerbaijan,2017,1.9,72.123,20.5,0.98126,44.657,0.1,40747792237.9735,4135.1386,67106740200.0,4080.0,2292.745,1496.15,5466.721,589.7040000000001,9845.32,5.234000205993651
Bahrain,2015,2.056,76.76100000000001,6.5,2.6186700000000003,11.001,2.86197,31125851063.8298,22688.878240000002,11050584000.0,22660.0,286.027,180.65099999999998,873.288,31.885,1371.851,5.96
Bahrain,2016,2.033,76.9,6.4,3.8128,10.91,3.4709199999999996,32250132978.7234,22628.95679,11330420000.0,21390.0,290.718,188.093,913.582,33.399,1425.7920000000001,6.218
Bahrain,2017,2.009,77.038,6.3,4.6217,10.814,3.80352,35432686170.2128,23739.15717,12574690000.0,21200.0,296.447,192.215,969.97,35.444,1494.076,6.08699989318848
Bangladesh,2015,2.133,72.155,29.8,1.12014,65.692,6.55265,195078678697.23,1210.15885,16142043000000.0,1190.0,45748.817,30351.381,72181.76400000001,7974.314,156256.27599999998,4.694
Bangladesh,2016,2.104,72.48899999999999,28.3,1.08017,64.917,7.11349,221415188000.475,1358.77919,18326749000000.0,1330.0,45423.27099999999,30515.249,73925.537,8113.096,157977.15300000002,4.643
Bangladesh,2017,2.076,72.808,26.9,1.0489,64.142,7.28418,249723862487.36102,1516.51327,20607165000000.0,1470.0,45070.553,30664.326,75727.584,8222.961,159685.424,4.60799980163574
Belize,2016,2.51,70.384,12.8,2.11122,54.505,-0.58802,1806646250.0,4923.358920000001,3391676800.0,4430.0,116.133,75.544,160.106,16.617,368.4,5.956
Belize,2017,2.475,70.58800000000001,12.2,2.08385,54.398999999999994,1.43729,1862614800.0,4971.20164,3414389500.0,4390.0,116.126,76.789,165.50900000000001,17.345,375.769,5.955999851226809
Benin,2015,5.048,60.638999999999996,66.6,2.77298,54.305,2.0958099999999997,8291155880.59505,783.96308,4865000000000.0,860.0,4551.582,2098.709,3584.2990000000004,341.36199999999997,10575.952,3.34
Benin,2016,4.977,60.907,65.1,2.76353,53.771,3.96486,8573159696.6112795,788.5324400000001,5061555500000.0,820.0,4660.437,2157.572,3702.2859999999996,351.76800000000003,10872.063,3.484
Benin,2017,4.906000000000001,61.17100000000001,63.5,2.7523,53.232,5.83782,9246696923.66155,827.39368,5343852347100.0,800.0,4768.298,2217.649,3826.7329999999997,362.51800000000003,11175.198,3.65700006484985
Bhutan,2015,2.086,69.817,27.6,1.39889,61.321999999999996,6.64456,2059809919.89325,2616.01034,122981390000.0,2400.0,199.28400000000002,153.48,333.309,41.803000000000004,727.8760000000001,5.252999999999999
Bhutan,2016,2.051,70.197,26.5,1.30955,60.571999999999996,8.0221,2219675780.89539,2782.36797,136687950000.0,2520.0,197.015,152.297,344.353,43.043,736.7080000000001,5.196000000000001
Bhutan,2017,2.02,70.565,25.6,1.22652,59.833,4.6291,2528007911.35353,3130.2335399999997,150768530000.0,2660.0,195.482,150.578,355.329,44.174,745.563,5.01100015640259
Bolivia,2015,2.9210000000000003,68.756,30.0,1.5272299999999999,31.607,4.85719,33000198263.3864,3077.0262,220243124641.09,3000.0,3522.3309999999997,2087.845,4525.18,734.3739999999999,10869.73,5.89
Bolivia,2016,2.878,69.125,29.0,1.51005,31.261999999999997,4.26392,33941126193.9219,3117.33046,230242790987.85,3080.0,3528.3540000000003,2112.837,4629.359,761.2639999999999,11031.813999999998,5.822
Bolivia,2017,2.839,69.473,28.0,1.49248,30.92,4.195209999999999,37508642112.8799,3393.95582,251534284400.417,3130.0,3529.6240000000003,2137.424,4737.1720000000005,788.635,11192.855,5.82299995422363
Bosnia and Herzegovina,2015,1.345,76.735,5.2,-0.846,52.827,3.07682,16209702863.6235,4584.24255,28768309400.0,5050.0,0.0,0.0,0.0,0.0,0.0,4.949
Bosnia and Herzegovina,2016,1.36,76.911,5.1,-0.54291,52.482,3.14407,16911088173.7458,4808.636039999999,29981754900.0,4950.0,0.0,0.0,0.0,0.0,0.0,5.162999999999999
Bosnia and Herzegovina,2017,1.375,77.087,4.9,-0.27902,52.123999999999995,3.1862,18054854788.5214,5148.20852,31193846800.0,4910.0,0.0,0.0,0.0,0.0,0.0,5.18200016021729
